date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation
2014-07-01,84,74,94,75,93,66,102,1985,1980,0,0.16,1.4
2014-07-06,81,72,89,75,93,63,101,1970,2005,0.01,0.15,1.73
2014-07-11,83,72,94,75,93,64,103,1905,1980,0,0.13,3.08
2014-07-12,84,74,94,75,93,65,104,1891,1980,0,0.12,5.19
2014-07-14,86,76,96,75,94,62,103,1990,1980,0,0.12,2.94
2014-07-15,82,75,89,75,94,64,103,1967,2000,0.06,0.12,4.32
2014-07-17,83,76,89,75,94,67,104,1974,1980,0.39,0.1,2.23
2014-07-18,81,75,87,75,94,67,102,1974,1980,0.04,0.11,2.85
2014-07-23,86,76,95,75,94,64,101,1970,1980,0.07,0.11,2.36
2014-07-24,84,73,94,75,94,68,101,1972,1954,0.01,0.1,2.09
2014-07-25,85,74,95,75,94,65,102,1894,1964,0,0.1,3.74
2014-07-26,87,78,95,75,94,68,105,1972,1954,0,0.11,2.35
2014-07-29,83,74,92,75,95,64,101,1994,1907,0.03,0.1,4.7
2014-07-30,83,72,94,75,95,68,102,1994,1914,0,0.09,2.11
2014-08-02,77,71,82,75,95,68,104,1891,1998,0,0.1,1.65
2014-08-04,83,73,92,75,95,63,102,1976,1951,0,0.11,2.94
2014-08-09,86,77,94,75,95,62,106,1989,1962,0,0.11,1.83
2014-08-11,86,75,97,75,95,65,102,1989,2011,0.25,0.1,2.72
2014-08-13,84,73,94,75,95,64,104,2004,1962,0,0.11,1.82
2014-08-14,83,73,93,75,95,65,102,2004,2007,0.02,0.11,2.8
2014-08-18,86,76,96,75,95,62,108,1992,1909,0,0.13,6.69
2014-08-19,85,76,94,75,95,69,107,2000,1909,0,0.13,1.85
2014-08-20,85,74,96,75,95,65,107,1976,1909,0.01,0.13,1.8
2014-08-23,87,75,98,75,94,64,107,1973,1980,0,0.13,2.46
2014-08-25,87,76,97,75,94,55,103,1891,1924,0,0.13,1.9
2014-08-29,83,75,91,74,93,61,107,1992,2011,0.02,0.15,2.89
2014-08-30,84,75,92,74,93,62,104,1986,2000,0,0.15,2.56
2014-09-06,85,75,95,73,92,56,99,1974,1909,0.16,0.14,2.9
2014-09-08,82,72,92,72,92,58,100,1988,1907,0,0.15,0.87
2014-09-09,85,74,95,72,91,59,100,1988,1909,0,0.15,4.22
2014-09-10,87,78,95,72,91,59,99,1988,1993,0,0.16,1.82
2014-09-11,87,76,97,71,91,56,99,1907,1893,0,0.15,4.81
2014-09-17,82,75,89,70,89,55,100,2000,1995,0.25,0.13,1.85
2014-09-19,79,73,84,69,89,51,97,1981,1995,0.2,0.12,6.92
2014-09-24,75,64,85,67,88,48,95,1975,2013,0,0.13,2.22
2014-09-30,80,71,89,65,86,47,95,1890,1998,0,0.13,2.55
2014-10-01,83,72,93,65,86,44,99,1984,1900,0.09,0.15,4.62
2014-10-04,68,59,77,64,85,43,95,1975,2002,0,0.17,3.6
2014-10-06,75,65,84,64,85,44,94,1975,1928,0.69,0.17,4.42
2014-10-10,83,75,91,63,84,43,95,1908,1962,0.03,0.17,3.5
2014-10-14,67,54,79,61,83,40,92,1977,1954,0,0.19,4.91
2014-10-28,73,60,86,58,79,36,90,1898,1991,0,0.18,8.04
2014-10-30,67,55,79,57,78,33,89,1917,2004,0,0.17,5.3
2014-11-01,55,45,65,57,77,35,89,1993,2010,0,0.15,6.25
2014-11-02,57,41,72,56,77,34,89,1991,1978,0,0.14,4.58
2014-11-03,67,53,80,56,77,30,87,1999,1992,0,0.15,3.09
2014-11-10,63,45,80,54,74,30,88,1977,1988,0,0.15,2.85
2014-11-12,51,43,58,53,74,32,85,1987,2003,0,0.15,4.68
2014-11-14,41,34,47,53,73,28,89,1969,1921,0,0.15,1.4
2014-11-21,64,61,66,50,71,29,84,1937,1999,0.57,0.14,1.54
2014-12-02,50,44,56,47,67,28,84,1979,2012,0,0.13,3.28
2014-12-07,57,54,59,46,66,24,84,1950,1998,0,0.13,4.95
2014-12-11,64,56,72,45,65,26,83,1957,2007,0.02,0.12,2.85
2014-12-23,54,48,60,44,63,7,80,1989,1996,0.69,0.13,1.01
2014-12-30,46,38,53,43,63,19,83,1983,1974,0,0.1,1.36
2015-01-01,44,41,47,43,63,18,81,1928,2006,0.15,0.1,3.12
2015-01-02,51,47,54,43,63,16,81,1928,2000,0.63,0.1,2.26
2015-01-03,47,41,53,43,62,16,83,1911,1989,0.63,0.1,3.44
2015-01-10,39,37,41,43,63,18,82,1977,1963,0.08,0.11,1.43
2015-01-14,42,39,45,43,63,19,82,1982,1971,0,0.11,1.45
2015-01-15,47,39,54,43,63,21,79,1892,1996,0,0.11,2.82
2015-01-17,53,37,69,43,63,15,80,1930,1974,0,0.11,2.39
2015-01-18,57,43,71,43,63,5,81,1930,2000,0,0.12,2.83
2015-01-25,55,40,70,44,63,19,81,1894,1971,0,0.11,2.83
2015-01-27,64,47,81,44,64,19,83,1897,1975,0,0.11,2.86
2015-01-28,61,43,79,44,64,19,82,1897,1975,0,0.12,0.75
2015-01-29,62,49,75,44,64,22,82,1897,1975,0,0.11,1.93
2015-01-30,55,45,65,44,64,18,84,1949,1911,0,0.12,1.64
2015-02-02,43,36,50,44,64,14,83,1951,1911,0,0.11,1.7
2015-02-06,49,41,56,45,65,24,81,1989,1969,0,0.11,1.09
2015-02-08,66,54,77,45,65,10,82,1895,1932,0,0.11,1.84
2015-02-11,60,44,75,46,66,20,82,1981,1999,0,0.11,1.88
2015-02-13,53,39,66,46,66,6,83,1899,1962,0,0.11,2.99
2015-02-21,70,65,75,48,67,24,89,1978,1996,0,0.12,1.98
2015-02-22,63,45,80,48,68,21,90,1978,1996,0,0.12,1.96
2015-02-24,38,33,43,48,68,26,87,1914,1927,0,0.12,1.38
2015-02-26,43,31,55,49,69,26,86,1974,1986,0,0.12,1.51
2015-02-28,47,37,57,49,69,28,90,2002,1940,0.02,0.12,1.44
2015-03-08,49,45,53,51,71,27,88,1971,1911,1.49,0.11,2.05
2015-03-12,59,55,62,52,72,24,89,1948,1904,0.33,0.11,4.28
2015-03-13,61,55,66,52,72,27,88,1932,1942,0.34,0.1,1.96
2015-03-15,64,55,73,52,73,32,89,1999,2008,0,0.11,2.06
2015-03-16,67,57,77,53,73,34,87,1913,1908,0,0.11,2.83
2015-03-20,74,66,82,53,74,24,90,1923,1907,0.02,0.11,7.47
2015-03-23,68,55,80,54,75,35,89,1989,1929,0,0.11,2.27
2015-03-26,62,54,69,55,75,30,94,1955,1928,0.09,0.12,2.23
2015-03-27,62,44,80,55,76,31,89,1955,1935,0,0.11,3
2015-03-28,65,47,82,55,76,33,89,1931,1972,0,0.11,1.99
2015-03-30,72,61,83,55,76,33,96,1987,1946,0,0.11,2.9
2015-03-31,74,64,83,56,77,30,88,1987,1946,0,0.1,1.44
2015-04-02,77,69,84,56,77,38,89,1996,1939,0,0.1,4.75
2015-04-06,75,67,82,57,78,37,88,1970,1909,0,0.1,1.9
2015-04-07,79,70,87,57,78,32,91,1971,1907,0,0.1,2.28
2015-04-08,78,71,84,57,78,35,92,1971,1986,0,0.1,3.26
2015-04-16,74,65,82,59,80,38,92,1983,1987,1.66,0.11,4.7
2015-04-19,72,58,86,60,80,40,92,1901,1987,0.54,0.11,2.77
2015-04-23,79,69,88,61,81,44,91,1998,1999,0,0.11,2.4
2015-04-25,78,67,88,62,82,41,90,1910,1987,0.21,0.13,2.5
2015-04-26,76,67,85,62,82,46,91,1978,1988,0,0.12,3.52
2015-04-27,72,66,78,63,82,47,93,1978,1933,0.02,0.13,2.72
2015-04-28,64,56,71,63,82,47,95,1978,1987,0,0.12,3.76
2015-05-03,70,57,83,64,83,47,93,1978,1890,0,0.16,5.1
2015-05-04,73,61,84,65,84,42,94,2013,1890,0,0.16,1.72
2015-05-12,74,69,79,67,85,50,92,1895,1967,0.56,0.16,5.27
2015-05-16,81,73,89,68,86,47,93,1973,2003,0,0.17,2.8
2015-05-18,80,73,86,68,87,50,95,1976,1890,0.24,0.15,6.16
2015-05-19,80,73,86,68,87,50,95,1976,2003,0.02,0.16,6.87
2015-05-20,81,73,89,69,87,48,95,1894,2008,0.31,0.16,4.17
2015-05-22,72,65,79,69,88,48,96,1892,2005,0,0.16,3.1
2015-05-23,79,73,85,69,88,45,95,1892,1996,0.72,0.16,3.99
2015-05-24,75,69,81,70,88,54,95,1892,1955,0.56,0.16,3.96
2015-05-26,76,66,85,70,89,57,98,1979,2011,0.77,0.17,2.91
2015-05-28,80,70,90,70,89,54,98,1901,1906,0,0.17,2.83
2015-06-02,79,68,90,71,90,55,100,1892,2011,0,0.17,4.03
2015-06-04,80,69,90,72,90,59,98,1970,2011,0,0.17,3.72
2015-06-06,83,72,93,72,91,57,105,1970,2011,0,0.18,2.66
2015-06-08,83,72,93,72,91,60,99,1977,1980,0,0.19,8.13
2015-06-13,80,74,86,73,91,57,101,1979,1911,0.35,0.21,3.58
2015-06-17,80,76,84,74,92,62,100,1989,1902,0.7,0.21,1.51
2015-06-18,81,76,86,74,92,64,103,1969,1918,0,0.22,3.29
2015-06-19,83,76,90,74,92,64,101,1912,1934,0,0.22,4.43
2015-06-20,84,77,90,74,92,62,101,1976,1902,0.2,0.21,1.99
2015-06-21,86,78,93,74,92,59,100,1976,1998,0,0.21,2.04
2015-06-26,86,77,94,75,92,59,105,1974,2012,0.13,0.19,10.34
2015-06-30,82,72,92,75,93,61,103,1985,1980,2.26,0.19,2.26
